Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases
China,"80,894","3,237","69,614","8,043"
Italy,"35,713","2,978","4,025","28,710"
Iran,"17,361","1,135","5,710","10,516"
Spain,"14,769",638,"1,081","13,050"
Germany,"12,327",28,105,"12,194"
France,"9,134",264,602,"8,268"
S. Korea,"8,413",84,"1,540","6,789"
USA,"8,304",133,106,"8,065"
Switzerland,"3,115",33,15,"3,067"
UK,"2,626",104,65,"2,457"
Netherlands,"2,051",58,2,"1,991"
Austria,"1,646",4,9,"1,633"
Norway,"1,582",6,1,"1,575"
Belgium,"1,486",14,31,"1,441"
Sweden,"1,292",10,15,"1,267"
Denmark,"1,057",4,1,"1,052"
Japan,899,29,144,726
Malaysia,790,2,60,728
Diamond Princess,712,7,456,249
Canada,656,9,12,635
Portugal,642,2,4,636
Australia,565,6,43,516
Czechia,522,,3,519
Qatar,452,,4,448
Israel,433,,11,422
Greece,418,5,14,399
Brazil,394,3,2,389
Finland,359,,10,349
Singapore,313,,114,199
Pakistan,307,2,13,292
Ireland,292,2,5,285
Poland,287,5,1,281
Slovenia,286,1,,285
Romania,260,,19,241
Estonia,258,,1,257
Bahrain,255,1,95,159
Iceland,250,,5,245
Saudi Arabia,238,,6,232
Chile,238,,,238
Indonesia,227,19,11,197
Thailand,212,1,41,170
Egypt,210,6,28,176
Luxembourg,203,2,,201
Philippines,202,17,4,181
Turkey,191,2,,189
Hong Kong,181,4,92,85
India,168,3,14,151
Iraq,164,12,41,111
Ecuador,155,2,,153
Russia,147,,8,139
Peru,145,,1,144
Kuwait,142,,15,127
Lebanon,133,4,4,125
San Marino,119,11,4,104
South Africa,116,,,116
UAE,113,,26,87
Armenia,110,,1,109
Slovakia,105,,,105
Taiwan,100,1,20,79
Mexico,93,,4,89
Colombia,93,,1,92
Bulgaria,92,2,,90
Serbia,89,,1,88
Croatia,87,,5,82
Panama,86,1,,85
Argentina,79,2,3,74
Vietnam,76,,16,60
Algeria,75,7,32,36
Latvia,71,,1,70
Costa Rica,69,,,69
Brunei,68,,,68
Albania,59,2,,57
Hungary,58,1,2,55
Cyprus,58,,,58
Faeroe Islands,58,,1,57
Jordan,56,,1,55
Morocco,54,2,1,51
Andorra,53,,1,52
Belarus,51,,5,46
Sri Lanka,51,,3,48
Uruguay,50,,,50
Malta,48,,2,46
Palestine,44,,,44
Oman,39,,13,26
Bosnia and Herzegovina,39,,2,37
Georgia,38,,1,37
Cambodia,37,,1,36
Moldova,36,1,1,34
Senegal,36,,2,34
Kazakhstan,36,,,36
Venezuela,36,,,36
North Macedonia,35,,1,34
Azerbaijan,34,1,6,27
Lithuania,33,,1,32
Tunisia,29,,1,28
Liechtenstein,28,,,28
Guadeloupe,27,,,27
Martinique,23,1,,22
Afghanistan,22,,1,21
Dominican Republic,21,1,,20
Burkina Faso,20,1,,19
New Zealand,20,,,20
Uzbekistan,18,,,18
Macao,17,,10,7
Ukraine,16,2,,14
Bangladesh,14,1,3,10
Cameroon,13,,,13
Jamaica,13,,2,11
Maldives,13,,,13
Bolivia,12,,,12
Réunion,12,,,12
French Guiana,11,,,11
Paraguay,11,,,11
Rwanda,11,,,11
Cuba,10,,,10
Monaco,9,,,9
Ivory Coast,9,,1,8
Honduras,9,,,9
Guatemala,8,1,,7
Nigeria,8,,1,7
Gibraltar,8,,2,6
Guam,8,,,8
Montenegro,8,,,8
Channel Islands,7,,,7
DRC,7,,,7
Ghana,7,,,7
Kenya,7,,,7
Trinidad and Tobago,7,,,7
Ethiopia,6,,,6
Mongolia,6,,,6
Seychelles,6,,,6
Puerto Rico,5,,,5
Guyana,4,1,,3
Aruba,4,,,4
Equatorial Guinea,4,,,4
Curaçao,3,,,3
French Polynesia,3,,,3
Gabon,3,,,3
Kyrgyzstan,3,,,3
Mauritius,3,,,3
Mayotte,3,,,3
St. Barth,3,,,3
Saint Martin,3,,,3
Tanzania,3,,,3
Sudan,2,1,,1
Barbados,2,,,2
Benin,2,,,2
Greenland,2,,,2
Liberia,2,,,2
Mauritania,2,,,2
Namibia,2,,,2
New Caledonia,2,,,2
Saint Lucia,2,,,2
U.S. Virgin Islands,2,,,2
Zambia,2,,,2
Cayman Islands,1,1,,0
Nepal,1,,1,0
Antigua and Barbuda,1,,,1
Bahamas,1,,,1
Bhutan,1,,,1
CAR,1,,,1
Congo,1,,,1
Djibouti,1,,,1
Gambia,1,,,1
Guinea,1,,,1
Vatican City,1,,,1
Montserrat,1,,,1
St. Vincent Grenadines,1,,,1
Sint Maarten,1,,,1
Somalia,1,,,1
Suriname,1,,,1
Eswatini,1,,,1
Togo,1,,,1
