Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases
China,"80,928","3,245","70,420","7,263"
Italy,"35,713","2,978","4,025","28,710"
Iran,"17,361","1,135","5,710","10,516"
Spain,"14,769",638,"1,081","13,050"
Germany,"12,327",28,105,"12,194"
USA,"9,464",155,108,"9,201"
France,"9,134",264,602,"8,268"
S. Korea,"8,565",91,"1,947","6,527"
Switzerland,"3,115",33,15,"3,067"
UK,"2,626",104,65,"2,457"
Netherlands,"2,051",58,2,"1,991"
Austria,"1,843",5,9,"1,829"
Norway,"1,591",6,1,"1,584"
Belgium,"1,486",14,31,"1,441"
Sweden,"1,301",10,15,"1,276"
Denmark,"1,057",4,1,"1,052"
Japan,924,33,191,700
Malaysia,790,2,60,728
Canada,727,9,12,706
Diamond Princess,712,7,527,178
Australia,686,6,43,637
Portugal,642,2,4,636
Brazil,529,4,2,523
Czechia,522,,3,519
Qatar,452,,4,448
Israel,433,,13,420
Greece,418,5,14,399
Ireland,366,2,5,359
Finland,359,,10,349
Singapore,313,,117,196
Indonesia,311,25,11,275
Pakistan,307,2,13,292
Poland,305,5,13,287
Slovenia,286,1,,285
Thailand,272,1,42,229
Romania,260,,19,241
Estonia,258,,1,257
Bahrain,256,1,95,160
Iceland,250,,5,245
Saudi Arabia,238,,6,232
Chile,238,,,238
Egypt,210,6,28,176
Luxembourg,203,2,,201
Philippines,202,17,7,178
Hong Kong,193,4,95,94
Turkey,191,2,,189
India,174,3,15,156
Ecuador,168,3,1,164
Iraq,164,12,43,109
Kuwait,148,,15,133
Russia,147,,8,139
Peru,145,,1,144
San Marino,140,14,4,122
Lebanon,133,4,4,125
Mexico,118,1,4,113
South Africa,116,,,116
Armenia,115,,1,114
UAE,113,,26,87
Panama,109,1,,108
Taiwan,108,1,26,81
Slovakia,105,,,105
Colombia,102,,1,101
Croatia,99,,5,94
Argentina,97,3,3,91
Serbia,97,,1,96
Bulgaria,94,3,,91
Uruguay,79,,,79
Vietnam,76,,16,60
Algeria,75,7,32,36
Hungary,73,1,2,70
Latvia,71,,1,70
Costa Rica,69,1,,68
Brunei,68,,,68
Albania,59,2,,57
Cyprus,58,,,58
Faeroe Islands,58,,1,57
Jordan,56,,1,55
Morocco,54,2,1,51
Andorra,53,,1,52
Sri Lanka,53,,3,50
Belarus,51,,5,46
Malta,48,,2,46
Kazakhstan,44,,,44
Palestine,44,,,44
North Macedonia,43,,1,42
Georgia,40,,1,39
Oman,39,,13,26
Bosnia and Herzegovina,39,,2,37
Cambodia,37,,1,36
Moldova,36,1,1,34
Senegal,36,,2,34
Venezuela,36,,,36
Dominican Republic,34,2,,32
Azerbaijan,34,1,7,26
Lithuania,34,,1,33
Guadeloupe,33,,,33
Tunisia,29,,1,28
New Zealand,28,,,28
Liechtenstein,28,,,28
Burkina Faso,27,1,,26
Martinique,23,1,,22
Uzbekistan,23,,,23
Afghanistan,22,,1,21
Bangladesh,17,1,3,13
Macao,17,,10,7
Ukraine,16,2,,14
Jamaica,15,1,2,12
French Guiana,15,,,15
Réunion,14,,,14
Cameroon,13,,,13
Maldives,13,,,13
Bolivia,12,,,12
Honduras,12,,,12
Cuba,11,1,,10
Paraguay,11,,,11
Rwanda,11,,,11
Monaco,9,,,9
Ivory Coast,9,,1,8
Trinidad and Tobago,9,,,9
Guatemala,8,1,,7
Nigeria,8,,1,7
Gibraltar,8,,2,6
Guam,8,,,8
Montenegro,8,,,8
Channel Islands,7,,,7
DRC,7,,,7
Ghana,7,,,7
Kenya,7,,,7
Ethiopia,6,,,6
French Polynesia,6,,,6
Mongolia,6,,,6
Puerto Rico,6,,,6
Seychelles,6,,,6
Guyana,4,1,,3
Aruba,4,,,4
Equatorial Guinea,4,,,4
Curaçao,3,1,,2
Gabon,3,,,3
Kyrgyzstan,3,,,3
Mauritius,3,,,3
Mayotte,3,,,3
St. Barth,3,,,3
Saint Martin,3,,,3
Tanzania,3,,,3
Sudan,2,1,,1
Barbados,2,,,2
Benin,2,,,2
Bermuda,2,,,2
Greenland,2,,,2
Liberia,2,,,2
Mauritania,2,,,2
Namibia,2,,,2
New Caledonia,2,,,2
Saint Lucia,2,,,2
U.S. Virgin Islands,2,,,2
Zambia,2,,,2
Cayman Islands,1,1,,0
Nepal,1,,1,0
Antigua and Barbuda,1,,,1
Bahamas,1,,,1
Bhutan,1,,,1
CAR,1,,,1
Congo,1,,,1
Djibouti,1,,,1
El Salvador,1,,,1
Fiji,1,,,1
Gambia,1,,,1
Guinea,1,,,1
Vatican City,1,,,1
Montserrat,1,,,1
Nicaragua,1,,,1
St. Vincent Grenadines,1,,,1
Sint Maarten,1,,,1
Somalia,1,,,1
Suriname,1,,,1
Eswatini,1,,,1
Togo,1,,,1
