Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"3,147,623","218,187","961,871","1,967,565",29-04-2020,11:39
Europe,"1,329,524","126,569","465,327","737,628",29-04-2020,11:39
North America,"1,120,629","64,412","176,247","879,970",29-04-2020,11:39
USA,"1,035,765","59,266","142,238","834,261",29-04-2020,11:39
Asia,"497,037","17,966","246,554","232,517",29-04-2020,11:39
Spain,"232,128","23,822","123,903","84,403",29-04-2020,11:39
Italy,"201,505","27,359","68,941","105,205",29-04-2020,11:39
France,"165,911","23,660","46,886","95,365",29-04-2020,11:39
UK,"161,145","21,678",N/A,"139,123",29-04-2020,11:39
Germany,"159,912","6,314","120,400","33,198",29-04-2020,11:39
South America,"155,592","7,590","54,294","93,708",29-04-2020,11:39
Turkey,"114,653","2,992","38,809","72,852",29-04-2020,11:39
Russia,"99,399",972,"10,286","88,141",29-04-2020,11:39
Iran,"92,584","5,877","72,439","14,268",29-04-2020,11:39
China,"82,858","4,633","77,578",647,29-04-2020,11:39
Brazil,"73,235","5,083","32,544","35,608",29-04-2020,11:39
Canada,"50,026","2,859","19,190","27,977",29-04-2020,11:39
Belgium,"47,334","7,331","10,943","29,060",29-04-2020,11:39
Netherlands,"38,416","4,566",N/A,"33,600",29-04-2020,11:39
Africa,"35,806","1,528","11,871","22,407",29-04-2020,11:39
India,"31,332","1,008","7,747","22,577",29-04-2020,11:39
Peru,"31,190",854,"9,179","21,157",29-04-2020,11:39
Switzerland,"29,264","1,699","22,600","4,965",29-04-2020,11:39
Portugal,"24,322",948,"1,389","21,985",29-04-2020,11:39
Ecuador,"24,258",871,"1,557","21,830",29-04-2020,11:39
Saudi Arabia,"20,077",152,"2,784","17,141",29-04-2020,11:39
Ireland,"19,877","1,159","9,233","9,485",29-04-2020,11:39
Sweden,"19,621","2,355","1,005","16,261",29-04-2020,11:39
Mexico,"16,752","1,569","11,423","3,760",29-04-2020,11:39
Israel,"15,782",212,"7,929","7,641",29-04-2020,11:39
Singapore,"15,641",14,"1,128","14,499",29-04-2020,11:39
Austria,"15,357",569,"12,580","2,208",29-04-2020,11:39
Pakistan,"14,885",327,"3,425","11,133",29-04-2020,11:39
Chile,"14,365",207,"7,710","6,448",29-04-2020,11:39
Japan,"13,736",394,"1,899","11,443",29-04-2020,11:39
Poland,"12,415",606,"3,025","8,784",29-04-2020,11:39
Belarus,"12,208",79,"1,993","10,136",29-04-2020,11:39
Qatar,"11,921",10,"1,134","10,777",29-04-2020,11:39
Romania,"11,616",663,"3,404","7,549",29-04-2020,11:39
UAE,"11,380",89,"2,181","9,110",29-04-2020,11:39
S. Korea,"10,761",246,"8,922","1,593",29-04-2020,11:39
Ukraine,"9,866",250,"1,103","8,513",29-04-2020,11:39
Indonesia,"9,511",773,"1,254","7,484",29-04-2020,11:39
Denmark,"9,008",434,"6,121","2,453",29-04-2020,11:39
Serbia,"8,497",168,"1,260","7,069",29-04-2020,11:39
Oceania,"8,314",107,"6,933","1,274",29-04-2020,11:39
Philippines,"8,212",558,"1,023","6,631",29-04-2020,11:39
Norway,"7,660",206,32,"7,422",29-04-2020,11:39
Czechia,"7,504",227,"2,960","4,317",29-04-2020,11:39
Bangladesh,"7,103",163,150,"6,790",29-04-2020,11:39
Australia,"6,738",88,"5,626","1,024",29-04-2020,11:39
Dominican Republic,"6,416",286,"1,165","4,965",29-04-2020,11:39
Panama,"6,200",176,484,"5,540",29-04-2020,11:39
Colombia,"5,949",269,"1,268","4,412",29-04-2020,11:39
Malaysia,"5,851",100,"4,032","1,719",29-04-2020,11:39
Egypt,"5,042",359,"1,304","3,379",29-04-2020,11:39
South Africa,"4,996",93,"2,073","2,830",29-04-2020,11:39
Finland,"4,740",199,"2,800","1,741",29-04-2020,11:39
Morocco,"4,252",165,778,"3,309",29-04-2020,11:39
Argentina,"4,127",207,"1,162","2,758",29-04-2020,11:39
Luxembourg,"3,741",89,"3,123",529,29-04-2020,11:39
Algeria,"3,649",437,"1,651","1,561",29-04-2020,11:39
Moldova,"3,638",107,975,"2,556",29-04-2020,11:39
Kuwait,"3,440",23,"1,176","2,241",29-04-2020,11:39
Kazakhstan,"3,079",25,774,"2,280",29-04-2020,11:39
Thailand,"2,947",54,"2,665",228,29-04-2020,11:39
